call,rank,analyst_sid_start,analyst_sid_end,musk_sid_start,musk_sid_end,analyst_speaker,analyst_neg_norm,musk_net_sent,divergence,analyst_text,musk_text
2021 Q4,4,113,113,114,114,Toni Sacconaghi,0.0,0.0085,0.0085,"Elon, I was wondering if I could just follow up and ask. You talked about your product road map and also your goal to keep growing at 50% per year or better. That would put you at 3.2 million vehicles or more in 2024. And I think you made reference to Cybertruck maybe being 250,000 vehicles. If there is no $25,000 vehicle being worked on, is it really realistic to think that you can sell more than 3 million vehicles with two very high-volume cars and Cybertruck in 2024, or how do we think about that or what else is missing in that equation?","Yes. I mean, it's apparent from the questions that the gravity of Full Self-Driving is not fully appreciated. If an asset has 5 times more utilization than the -- it's like dividing the cost of that asset by 5. So, if you have a $50,000 car, it's like having a $10,000 car all of a sudden, but maybe better than that because still you don't want to drive. So the person can be engaged in productivity or amusement instead of having to onerously drive through traffic. So, it's probably better than 5 times, I don't know. Yes. I mean, basically, if the cost of our cars do not change at all, we would still sell as many as we could possibly make."
2021 Q4,5,116,116,119,119,Pierre Ferragu,0.0059,0.0,0.0059,"I wanted to come back on battery. So, it's great to hear on one hand that you guys expect to sell like the first car with 4680 this quarter and at the same time that you don't really depend on that ramp to achieve your -- what you hope to achieve in terms of significant volume growth this year. And the question I had is I understand well the ramp of 4680 internally. But I'd be curious to hear you talk about how you think about 4680 as being a form factor that your suppliers could adopt as well. And how you see in the long run, in the greater scheme of things, what does 4680 become? Is it going to be outside of Tesla the largest form factor for batteries? Is it something that you guys are going to deploy in all cars, whatever the chemistry also in the Megapack, in all your energy storage business? And do you expect eventually a lot of other companies to use that form factor as well?","So, we don't use 4680 at all for the iron cells."
2022 Q1,1,78,78,80,80,Dan Levy,0.0147,0.05,0.0353,"Hi. Good evening. Thank you for taking the questions. First, maybe you can just talk through or address what some of the drivers of cost improvement were in the quarter. Was it just further improvements within Shanghai or in Fremont? Anything around sort of ongoing kaizen that you’ve talked about in the past? Maybe you could just talk through what you benefited from in the first quarter.",Special mention goes to the Fremont manufacturing team and our associates there because we’re achieving record output at Fremont.
2022 Q1,2,126,126,127,127,Alex Potter,0.0317,0.0,0.0317,"Okay, great. So first question I had was the extent to which other plants outside of China are insulated from any further upstream supply bottlenecks that we may have in China. Obviously, if this COVID lockdown things gets out of hand, clearly, that’s going to continue impacting Shanghai. But is there a point at which it could actually also impact other facilities?","Yes. If it would continue, but there are some parts that are sourced in China that apply worldwide. And that would be -- that would impact production elsewhere. But all indications are that we are -- our Giga Shanghai is back in production at fairly high levels already and so are our suppliers. So, we don’t think this is going to be a big deal."
2022 Q1,3,113,113,114,114,Trip Chowdhry,0.029,0.0,0.029,"Thank you. Two questions I have. First is regarding the Cybertruck. And I was wondering like in terms of number of parts, how would Cybertruck compare with the traditional pickup truck in terms of number of parts? The second question I have is on Gigafactory Nevada, Sparks. Will we have any production of vehicles in that factory, or all the future production will happen in Giga Austin? Thank you.","I’m not sure if we’ve actually done a comparison of Cybertruck parts versus regular truck parts. I mean, Lars?"
2022 Q1,4,105,105,106,106,Pierre Ferragu,0.0133,-0.013,0.0263,"Great. I’d like to ask you some questions about free cash flow. Do you -- so first, maybe in the long run, if you look at your performance and your growth model and your growth ambitions, I did the math very quick. And I see you guys sitting on $400 billion or maybe $500 billion of cash at the end of the decade. And I was wondering if it’s something you have given some thoughts about.","If inflation keeps going crazy, $500 billion might be like $20 billion today. I don’t know. So, we’ll see what $500 billion buys you in a decade, but it might be a lot less. So, I don’t know if we’ll -- that seems like a lot of cash. I don’t know. We’ll try to do something useful with it. I mean, Zach, I don’t know -- I realize that’s problem, that’s for sure."
2022 Q1,5,87,87,88,89,Dan Levy,0.0084,-0.0146,0.023,"Second question, one of the initial goals of Model 3 way back when was to have an EV that was affordable for a wide portion of the market. And we know prices are much higher now just given the supply constraints. Prices are higher for all other automakers. We know that there’s inflation that you’re battling through, and some of that needs to be passed through the price of the vehicles. And you’re going to be supply-constrained for the foreseeable future. So, it’s one of the points. But given the goal long term of making EVs more widely available to the masses over time, how do you look at the progression of prices over time?","We absolutely want to make EVs as affordable as possible. It’s been very difficult with the -- I mean, I think, inflation is at like a 40 or 50-year high. And I think the official numbers actually understate the true magnitude of inflation, so. And that inflation appears to be likely to continue for at least the remainder of this year is what -- when we’re talking to suppliers, suppliers are under severe cost pressure. So, yes, and in some cases, we’re seeing suppliers request 20% to 30% cost increases for parts from last year to the end of this year. So, it’s -- there’s a lot of cost pressure there. That’s why we raised our prices because we -- when things are on -- with respect to inflation, you know it’s high, then -- and we’ve got orders that go out a year or more in some cases, then we have to anticipate those cost increases. But I think, especially with the robotaxi and autonomy, I think we will end up providing consumers with, by far, the lowest cost per mile of transport that they’ve ever experienced. Yes. I mean with robotaxi, like maybe 5 to 10 times cost per mile. It’s really quite substantial."
2022 Q2,1,105,105,106,106,Toni Sacconaghi,0.0189,-0.0536,0.0724,"Yes. Thank you for taking my question. I have two as well. In response to the question around demand, I think Zach, you said maybe a little, and Elon, you said maybe some indication that you might see some pressure on demand. And I am wondering if that is really just speculation or whether there is any empirical data that you saw in the last month, whether it would be cancellations or order lead times that led you to make that comment. I think anecdotally, if you squint, the lead times have gotten a little lower over the last four months in both China and the U.S. That’s really the only visibility investors have. So, I am wondering if you could maybe elaborate on whether that’s really just you are sort of anticipating there could be some impact because of high prices or whether they are something anecdotally or quantitatively that you could point to, please?","No. I mean I think we have said this now for many years, I know has proven true. Tesla does not have a demand problem, we have a production problem. And we have almost always had it’s a very rare exception it’s always been a production problem. I think that will remain the case."
2022 Q2,2,70,70,71,71,Pierre Ferragu,0.0,0.069,0.069,Okay.,I’d say we are highly confident of a good outcome. It’s the exact counterpoint of that is perhaps is of some debate but the outcome is not.
2022 Q2,3,92,92,93,93,Emmanuel Rosner,0.0,0.05,0.05,"Yes. My follow-up was actually on the supply side. So, it was very encouraging to see that you are quantifying your current installed capacity at basically already in excess of 1.9 million units installed currently. How quickly do you think that you can fill that capacity?","Well, I mean we – I think we have got a good chance of exiting this year at 40,000 vehicles a week."
2022 Q2,4,85,85,86,86,Emmanuel Rosner,0.0244,-0.0179,0.0422,"Yes. Thank you so much. I have a question on your vehicle demand and then a quick follow-up on supply. First, on the demand side. Are you seeing any sort of pressure in the order book or the pace of new order or any sort of like slowdown as a result of the pressures that the consumer is experiencing? Are you worried about it in light of your view of the risks to the economy that I think you expressed, Elon?","Well, right now, our firm is very much production. So, we have long leads on – as anyone can tell, if they order our car, if you order Model Y, it will arrive sometime next year. So, this is clearly not an issue for many months for us. Our problem is overwhelmingly that of production. So, yes."
2022 Q2,5,113,113,114,114,Toni Sacconaghi,0.0263,0.0,0.0263,"Okay. Thank you. Now I was just trying to follow-up on the fact that you both said that maybe we are seeing demand be impacted a little bit, and that was the spirit of the question, maybe...","We don’t have like – like because we see daily orders from around the world for our cars, it’s actually – it is like a mood barometer of people’s confidence in the economy. But one can’t read too much into it because things can vary a great deal from one day to the next. Consumer sentiment is all over the map. So, it’s – manage price, frankly. But we have so much excess demand. That is really just not an issue for us. It might be an issue for some other companies but it is not an issue for us."
2022 Q3,1,106,106,108,108,Colin Rusch,0.0,0.0435,0.0435,"The operating leverage has been pretty impressive here. And I’m curious about areas where you could invest in an incremental way, whether it’s on the R&D side or on the sales side to accelerate growth or cost reduction, or should we be thinking about this level of spend on a go-forward basis and some significant operating leverage as you scale up from here?","Yes. Look, we are in the -- at least for now, quite in a good position of -- we’re investing in everything we can think of to possibly invest in, and we’re still generating cash. So, I guess, it gets a pretty good place to be."
2022 Q3,2,88,88,89,89,Adam Jonas,0.0714,0.0283,0.0431,"So Elon, would you consider vertically integrating into mining? That’s my first question.","We’ll do whatever we have to. Whatever the limiting factor is, we’ll do. We do not personally constrain ourselves. We don’t particularly integrate just for the hell of particularly integrating. Like if there was a great supplier who’s better than us or we think actively is very good, or even where the economics of comparative advantage suggest that we should use that supplier, even if we could beat them, but we could use our resources to do something else that will be more productive, then we would in source in that case. But if we have to go mine, we will mine."
2022 Q3,3,138,139,141,141,Pierre Ferragu,0.0348,0.0769,0.0421,"Great. I’d love to have another update on 4680, Drew. So last time we talked about it, there were -- it was a question about like scaling up with manufacturing and there were still a few things to get right. Is it fair to say that now you are at scale, and it’s just a question of logistics to get bigger? So, that’s question number one. And then, question number two, on the kind of like innovation and cost reduction and efficiency improvements kind of path that you described at the battery day, where are we today? And how much time is it going to take to deliver all the potential you outlined then?","Yes, I’d be surprised. I think we’ll do better than that."
2022 Q3,4,97,97,98,98,Colin Langan,0.0,0.025,0.025,"Okay. Sorry about that. Any update on full self-driving? I think you had said a couple of quarters ago, it would be available by the end of the year. Is that still possible? Is it -- would it still be like a Level 4 or Level 5 that you’re talking about? And are there any sort of regulatory hurdles you’d have to think about?","We -- as I said earlier, we’re expecting to release the full self-driving software to anyone who orders the package by the end of this year. So, a separate matter as to will it have regulatory approval. It won’t have regulatory approval at that time. But the car will be able to take you from your home to your work, your friend’s house, to the grocery store without you touching wheel. So, it’s looking very good."
2022 Q3,5,170,170,171,173,William Stein,0.0,0.0238,0.0238,"I guess, I’ll go at one that I asked last time, Elon, which is your expectation for the likelihood of commercial success in each of the three major AI endeavors. FSD, sort of as imagined without a driver, the training computer and, of course, Optimus.","We’ll achieve full self-driving full autonomy -- I look at that occurring is 100%. And I think we’ll -- we’re almost there. And then, of course, we’ve got to prove it to regulators and get the regulatory approvals, which is outside of our control. But anyone who’s driving full self-driving cars -- has full self-driving Beta in the car, you can see the rate of improvement. You can just experience for yourself that we are, in fact, getting there. In fact, we almost are there. And so, we’re probably -- achieving that 100%. The Optimus, probably of that being a successful product, I think, it’s also extremely high given enough time, 100%. Dojo, just maybe more of a question around Dojo, like can we be competitive with NVIDIA GPUs even as NVIDIA continues to rapidly evolve their GPUs. So the jury is out on Dojo. Dojo team, they can outperform NVIDIA for Neuralink training. The jury’s out. We will probably know -- I don’t know, next year, if that’s true or not. But we think we’ll probably -- we think it’s -- this is -- the architecture of Dojo is the right architecture to win. Yes. It depends on how well we execute in that architecture."
2022 Q4,1,137,137,138,138,Adam Jonas,0.0244,0.1429,0.1185,"Hi. Elon, first question is, is it time for Tesla to significantly expand the captive finco? I mean, you only have like $4.5 billion of receivables. It's basically nothing compared to other big auto companies. And then I have a follow-up.",Zach maybe is best to answer that.
2022 Q4,2,145,145,146,146,Adam Jonas,0.0,-0.0435,0.0435,"Thanks Elon. And just a follow-up, I don't want to steal thunder from March 1st and in Austin, but how close are we to that step change improvement in BoM cost where you could sell an EV for under $25,000 or $30,000 and actually generate a profit, that kind of real moving assembly line moment in manufacturing? Again, I don't want to steal the thunder but just if you wanted to kind of wrap-up with thoughts there that would be helpful. Thanks Elon.","I mean, I'd love to answer -- I'll probably be asking the same question, but we would be jumping the gun on future announcements."
2022 Q4,3,100,101,102,105,Pierre Ferragu,0.0,0.0404,0.0404,"Thank you, so much. So as a quick follow-up, Elon, I was thinking about like FSD, and when you look at like the situation today compared to a year ago, it's -- like the progress has been, like, amazing in the quality of the product, but also its rollout. And so, I was wondering, how much is this like impacting the take rate of FSD today? So do you already see that people are getting more excited by FSD, because they see it around them on 400,000 cars and they see the value of the service already, or is that too early to really see like, to expect like an uptick in the take rate?","The trend is very strong towards use of FSD. And as you alluded to, the -- with each incremental improvement, the enthusiasm obviously increases. And -- so, I think something that still a lot of people out there don't quite appreciate is that Tesla -- I would say, like, Tesla is as much as a software company as a hardware company, but Tesla is really one of the world's leading AI companies. This is kind of a big deal with AI on the software side and on the hardware side. With the Hardware 3 inference computer, still the most efficient inference computer in the world despite being, at this point, five years old from the design point. And with Hardware 4 coming and then Hardware 5 beyond that, where there are significant leaps. And the Dojo computer, we expect to be using that operationally at Tesla later this year. So -- and we're seeing just a lot of world-class AI talent join the company. There's also the long-term potential of Optimus where we're able to use our expertise in electric motors and power electronics, batteries and advanced manufacturing to be able to make a humanoid robot that is actually useful and can be made at high volume with exceptional capabilities, because of the -- or robot AI that, where we take the -- because the car is like a robot on four wheels and Optimus is a robot on legs. But the -- as we get closer and closer to solving real-world AI, and we don't see anyone even close to us in achieving this, the value -- I think, you appreciate this and a few others do, but most don't know what I'm talking about. And so -- but it's -- this is the thing that has order of magnitude potential market cap improvement for Tesla."
2022 Q4,4,112,112,113,113,Alex Potter,0.02,0.0,0.02,"Okay, great. And then maybe 1 additional question here on the incremental capacity in Nevada, the 4680s that you're planning. That's a lot of batteries obviously, and presumably, you won't be putting all of those in Tesla Semi. So I guess, two questions about that incremental capacity. First, is it correct to assume that all of those 4680s are going to be more or less fungible and usable in your entire range of products? And if the answer is yes, then if you had to guess, how do you think that 100 gigawatt-hours would be allocated between your various end markets?","I don't know, this is a bit too much guessing"
2022 Q4,5,96,96,99,99,Pierre Ferragu,0.0,-0.0141,0.0141,Excellent. Thank you. And I…,"Yes. My guess is, if there is -- if the recession is a serious one and I think it probably will be, but I hope it isn't, that would lead to meaningful decreases in almost all of our input costs. So we expect to see deflation in our input costs most likely, which would then lead to, yes, better margins. I'm just guessing here. So, this is -- that would be my guess."
2023 Q1,1,150,150,151,151,Dan Levy,0.0256,-0.0465,0.0722,"Hi. Good evening. Thank you. First question, you're ramping supply at Austin and Berlin. So I wanted to understand just how critical it is to further increase volume at those plants just to get the vertical integration benefits in the face of the market with some demand questions. And just broadly, should we -- I mean, historically, you've been operating at the pace at which your supply allows you to produce as opposed to gauging to demand. Should we generally expect that you're going to continue to produce at your -- whatever the max capacity that you're allowed within your supply constraints, regardless of what the broader economic environment is just to continue to get that volume out there?","So that is -- yes, I mean, there could be like obviously a macro shock that is so severe that people just stop buying cars for some reason. But in the absence of that, we will continue to grow output at a rapid clip."
2023 Q1,2,137,137,138,138,Adam Jonas,0.0625,0.0,0.0625,"Hi everybody. So, first, Elon, good luck with tomorrow's launch of Boca Chica. Break a leg.","Thanks. You can't have too much luck in the rocket business, that's for sure."
2023 Q1,3,133,133,134,135,Rod Lache,0.0571,0.0059,0.0512,"Okay. And the -- normally, in a recession, when consumers feel less financially secure, actually price elasticity deteriorates. Just based on your pulse taking of the consumer, do you have a view on elasticity of demand?","Well, I can't emphasize enough the whole -- just fundamental question of affordability. For most people, their ability to buy a car is a function of can they make monthly payment or not. And so like I said, if interest rates are really high, like they are right now, then in some cases, people can't get a loan at all. So it's -- I think probably banks are pretty -- not leaning forward in providing loans, I expect, these days. So that's -- like there is -- there is quite a powerful story here when you -- going back to something as alluded to a moment ago -- I mentioned a moment ago that Tesla is in a uniquely strong strategic position. Because we're the only ones making cars that technically, we could sell for zero profit for now and then yield actually tremendous economics in the future through autonomy, no one else can do that. I'm not sure how many people will appreciate the profundity of what I've just said, but it is extremely significant."
2023 Q1,4,152,152,153,153,Dan Levy,0.0286,0.0784,0.0499,Great. Thank you. And then just on the margins associated with Austin and Berlin. You mentioned Austin want to have the margin drag until you reach intended volumes. I don't know if you can disclose what those volumes are. And then maybe you could just remind us of what the margin profile of Austin and Berlin will look like versus Shanghai once you get the vertical integration benefits in place?,"Well, probably one have be quite as good as Shanghai. Shanhai is hard to -- has a very efficient cost structures, obviously, our lowest cost structure in the world. But we do expect to be -- make significant improvements in Austin and Berlin and continue to make improvements in Fremont as well. So..."
2023 Q1,5,69,69,70,70,George Gianarikas,0.0377,0.0,0.0377,"Hi. Thanks for taking my question. I was wondering, first, if you could discuss your FSD take rates and whether you've seen any significant positive or negative change there? And also, given that you've reduced the prices for your vehicles, do you think you need to do that for FSD as well? Thanks.","Well, I can kind of answer the details on the FSD take rate, but the -- it's a tricky pricing question, because the value of a car that is autonomous is enormous. So in a way, the price right now is an option value on an autonomous vehicle. And that value is -- that will ultimately be very significant. And it's really -- yes. I mean, for those that are using the FSD beta, I think you can see the improvements are really quite dramatic. There'll be a little bit of two steps forward, one step back between releases for those trying the beta. But the trend is very clearly towards full self-driving, towards full autonomy. And I hesitate to say this, but I think we'll do it this year. So that's what it looks like. Yes."
2023 Q2,1,103,103,104,105,William Stein,0.0,0.0229,0.0229,"Great. I'd like to ask about -- so to stick on this AI topic, we've read with great interest the developments in Dojo today, and you've spoken about FSD. But you've also -- Elon, you started this x.ai company. And for investors that think that there might be quite a bit of value in the AI features and products of Tesla, it might be concerning to see you pursuing another endeavor where AI is the focus. So can you talk about how x.ai might overlap, might perhaps compete, with Tesla or, in other ways, perhaps it enhances the value of what Tesla does?","Yes, I think it will actually enhance the value of Tesla. There were just some of the world's best AI engineers and scientists that were willing to join a startup, but they were not willing to join a large, sort of relatively established company like Tesla. So I was like -- that's actually how it got started. I was interviewing a few people. And they're like, 'No, we want to do a startup."" I was like -- and that's all -- I couldn't convince them to join Tesla. So I was like, ""Okay, well, better to start up that, that I run this, than they go work somewhere else."" That's kind of the genesis of xAI. And xAI is focused on sort of AGI. Yes. So it's -- like I said, I think there will be some value that xAI brings to Tesla. Also, some of the very best people in the world, they really just want to work on interesting problems. So if you take, say, our materials science group, really what convinced Charlie Kuehmann to leave Apple, where he was very happy and well compensated, and both at -- to where we think is the best materials science group in the world, was that he got to work at both Tesla and SpaceX. He wasn't willing to leave Apple if it was just Tesla, but he was willing to do it if it was Tesla and SpaceX. So sometimes you get the best talent in the world, that's the kind of thing you need to do. And that actually has been very beneficial to Tesla."
2023 Q2,2,136,136,138,138,Mark Delaney,0.0227,0.0,0.0227,Yes. Maybe you could put a finer point on the downtime impact that you spoke about in your prepared comments in terms of production impacts and then also to what extent there's a margin impact from those factory upgrades that you're planning this quarter.,I think we're getting too much into the weeds here. I mean like you're asking for a level of precision that is not possible to answer. So let's move on.
2023 Q2,3,82,82,83,83,Dan Levy,0.0115,0.0,0.0115,"Great. I wanted to start first with a question about your efforts in AI and Dojo. It's pretty clear, it sounds like you're accelerating your focus. Can you maybe provide us with a sense of what the process is of refining a product? Is it more machines? And maybe you could give us a sense of when the payout starts to -- when you start to see the payout and what the resource outlay is, what should we expect on the OpEx front as a result of this?","Sorry, are you saying how much are we going to spend on Dojo?"
2023 Q2,4,95,95,96,97,Dan Levy,0.0208,0.0096,0.0112,"Great. Thank you. Just as a follow-up, I recognize there's sort of incredible macro uncertainty right now, but you're sticking with your near-term volume target of 50% CAGR. As we just think about sort of in the year ahead, Cybertruck, there's going to be some contribution. There's going to be some help from further EV penetration growth. But to what extent are you willing to sacrifice on pricing to keep that 50% volume CAGR intact? Or are you thinking differently about margins versus your prior commentary of willing to sacrifice on margins to get more share?","It's not about getting more share. It's just that you can think of every car that we sell or produce that has full autonomy capability as actually something that, in the future, may be worth as much as 5x what it is today. Because average [ pass-through ] vehicle is doing like maybe 10 hours of driving a week. If this is sort of -- if this says 1.5 hours a day on average, that's 10 hours a week-ish. If you've got on autonomous -- if that vehicle is able to operate autonomously and use -- so either dedicated autonomous or partially autonomous, like Airbnb, like maybe sometimes you allow your car to be used by others, sometimes you want to use it exclusively just like doing Airbnb with a room in your house, the value is just tremendous. So I think sort of it would be -- I think it does make sense to sacrifice margins in favor of making more vehicles because we think, in the not too distant future, they will have a dramatic valuation increase. I think the Tesla fleet value increase at the point in which we can upload full self-driving and is approved by regulators will be the single biggest step change in asset value maybe in history."
